surfaceflinger,mediaserver
16175,7748
17105,7988
19521,7814
19144,7853
17608,7847
20139,7940
17865,7947
19904,7955
20206,7961
16659,8003
18425,7737
18145,7948
17952,7996
23799,7920
18226,7948
19631,8013
19418,7917
17929,7975
20167,7944
18989,8012
17836,7982
19181,7865
18677,7883
17407,7906
18729,8474
17285,8066
19091,8136
17874,8074
16992,8062
18541,8110
19238,8514
16977,8261
18860,7816
17468,7852
17941,7852
18539,7756
18282,7803
19743,7998
17795,7920
19456,7831
18998,7856
18057,7774
18304,7852
18831,7828
20066,7846
17381,7906
18268,7913
17590,7996
19057,7891
18321,7950
19617,7868
19209,7882
17411,7958
18359,7879
18356,7864
19561,7939
18037,7947
19526,7947
20518,8013
19832,7954
19793,7968
19773,8038
18770,8003
18983,7931
19260,7887
18287,7956
19244,8700
19091,8016
17896,8101
19420,8422
19124,8061
18947,8066
18167,8092
19033,8076
17871,8050
17698,8007
18885,7911
17978,7970
18289,7954
19665,7934
18459,7835
19512,7854
19035,7829
18636,7909
18406,7884
17630,8032
18174,7924
18556,7932
18525,7939
18580,7993
19826,7934
18557,7879
19152,8013
18961,7968
18892,7944
18810,7901
18823,7892
20257,8081
19474,7936
17958,7998
19350,7934
18518,7999
19679,7973
19429,7837
17989,7954
19984,8005
18518,7971
18233,7984
21023,7972
19667,7946
18701,7957
20224,7944
19345,7932
21399,7978
19314,8034
19186,7782
18703,7936
17672,7959
18645,7828
19028,7934
18794,7959
19163,7941
18788,8020
18220,8006
19235,7775
18758,7939
18256,8304
18553,7842
17578,7967
19246,8018
19686,8501
17909,7950
18255,7936
19239,7823
18228,7855
19680,8539
19614,8102
17924,8180
18786,8043
17283,8031
19734,8557
18942,7739
18568,7442
20130,7756
19557,7802
17800,7845
19783,7900
18591,7924
17534,7934
18409,7872
18780,7885
19242,7982
18744,7950
18676,7959
19588,7895
18260,7922
18734,7881
19519,8731
19055,7888
17768,7816
20148,7823
18952,7825
18560,8407
18461,8214
19070,8004
19278,8124
19982,8061
18587,8512
18676,8488
19386,8382
18906,7961
18575,7927
19241,7984
17245,7920
18681,7965
17688,8704
19042,8493
19183,8125
18145,8007
19524,8017
18105,7964
17608,8481
18536,8307
19362,8392
17166,8428
19448,8579
19887,8055
18571,7882
19539,7784
20540,7845
17884,7964
19286,8005
18064,8048
18641,8060
19636,7956
17838,7881
19142,7899
18321,7919
19583,7960
19324,7966
19177,8025
18341,8585
19033,8292
19444,8156
19019,8065
19222,8123
20463,8024
18078,7977
18212,8025
18866,8732
17720,8109
19046,8039
19511,8132
17351,8171
19605,7994
18835,8046
17935,7670
19667,8092
18020,7943
19308,7992
19107,7922
19844,7988
19312,8040
17329,8049
18056,8040
18020,7960
18984,7967
18234,8017
19887,7926
18759,7885
17918,7916
19816,7894
18941,7977
18360,7859
19577,7930
18967,7605
18245,8396
19859,8062
20406,8197
18031,8324
19626,8648
19337,8412
17886,8117
19503,8165
19340,8217
19215,8235
18822,8171
18554,8292
19159,8088
19507,8354
19096,8158
19374,8163
18267,8168
18726,8201
18936,8186
18269,8171
18484,8134
18384,8304
18039,8323
19071,8396
19696,8311
19286,8207
18675,8236
19381,8172
18812,8169
19193,8633
19181,8595
18692,8489
20221,8136
18057,8234
18531,8147
18942,8130
17472,8117
19856,8046
19435,8027
19110,8076
19451,8017
19219,8065
19377,8013
19312,8559
18942,8444
18521,7987
18956,8003
19445,8053
20710,8016
19457,7870
18560,7901
19832,8728
17925,8083
18997,8107
19221,8048
19171,8139
19951,8076
20554,8174
18319,8193
18893,8138
17876,8082
18394,8095
19849,8100
18311,8114
18997,8078
22055,8061
19361,7994
19989,7504
19180,8358
18155,8342
19295,8163
18380,7989
20361,7972
18781,7905
19503,7971
20821,8890
20253,8298
18392,8516
19725,8226
20329,7961
17887,7934
19252,7853
20146,7993
19199,7601
20227,7922
17214,8554
18609,8052
21507,7969
18576,7930
19607,7906
19739,7996
19520,8018
18790,7933
19431,7943
19554,7865
18701,7892
20483,8790
19758,8216
19271,7975
21291,8056
20614,7976
18727,8061
19154,8105
18676,8095
19220,8088
19178,8072
19228,8139
18937,8124
19779,8982
18821,8433
19739,8011
17793,8078
20318,8005
20117,8029
17408,7997
20825,7929
18299,7878
18764,7885
18226,7947
18025,7940
18408,7973
18427,8604
18030,8456
20148,7993
19563,8025
18995,8069
20835,8062
19639,8112
19934,8034
19787,8014
20236,8050
19142,8115
20276,8123
19860,7979
21364,7944
18859,7911
20227,7895
20732,7916
18645,8506
20953,7562
20319,7861
19254,7789
20707,7804
18860,7828
20251,7688
19972,7876
19749,7890
20747,7921
20306,7914
20118,7920
19710,7955
18900,7942
19492,7958
20349,8488
19056,8478
18983,7853
19934,7937
18676,8015
21391,7951
19973,7999
21481,8010
20464,8016
20541,8177
19663,8081
20509,7842
20378,8042
19707,7914
20212,7948
20133,7952
19550,7986
18790,7844
18908,7821
19569,8499
18295,7939
20711,7771
25188,7811
18650,7829
20481,7896
20470,7950
18813,7912
20683,7843
20851,7883
19862,7914
18770,7848
19600,7876
18409,7927
19102,7967
